"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","notes"
"03",,"1","Oslo","","",,,""
"11",,"1","Rogaland","","",,,""
"15",,"1","Møre og Romsdal","","",,,""
"18",,"1","Nordland - Nordlánnda","","",,,"Stortingets vedtak fra 27. april 2021 innfører tospråklig navn på Nordland fylke, norsk og lulesamisk. Endringen trer i kraft straks. "
"31",,"1","Østfold","","",,,""
"32",,"1","Akershus","","",,,""
"33",,"1","Buskerud","","",,,""
"34",,"1","Innlandet","","",,,""
"39",,"1","Vestfold","","",,,""
"40",,"1","Telemark","","",,,""
"42",,"1","Agder","","",,,""
"46",,"1","Vestland","","",,,""
"50",,"1","Trøndelag - Trööndelage","","",,,""
"55",,"1","Troms - Romsa - Tromssa","","",,,""
"56",,"1","Finnmark - Finnmárku - Finmarkku","","",,,""
"99",,"1","Uoppgitt","","",,,""
